"Sensor","Date","Count"
"Southern Cross Station",2016-07-01,17.583
"Southern Cross Station",2016-07-02,2.525
"Southern Cross Station",2016-07-03,1.733
"Southern Cross Station",2016-07-04,17.274
"Southern Cross Station",2016-07-05,16.467
"Southern Cross Station",2016-07-06,16.773
"Southern Cross Station",2016-07-07,16.955
"Southern Cross Station",2016-07-08,17.225
"Southern Cross Station",2016-07-09,3.211
"Southern Cross Station",2016-07-10,1.751
"Southern Cross Station",2016-07-11,17.604
"Southern Cross Station",2016-07-12,17.914
"Southern Cross Station",2016-07-13,17.698
"Southern Cross Station",2016-07-14,18.58
"Southern Cross Station",2016-07-15,18.321
"Southern Cross Station",2016-07-16,2.742
"Southern Cross Station",2016-07-17,1.923
"Southern Cross Station",2016-07-18,17.816
"Southern Cross Station",2016-07-19,18.017
"Southern Cross Station",2016-07-20,18.41
"Southern Cross Station",2016-07-21,18.349
"Southern Cross Station",2016-07-22,18.098
"Southern Cross Station",2016-07-23,2.353
"Southern Cross Station",2016-07-24,2.068
"Southern Cross Station",2016-07-25,17.27
"Southern Cross Station",2016-07-26,18.371
"Southern Cross Station",2016-07-27,18.181
"Southern Cross Station",2016-07-28,18.667
"Southern Cross Station",2016-07-29,18.475
"Southern Cross Station",2016-07-30,2.987
"Southern Cross Station",2016-07-31,1.769
"Southern Cross Station",2016-08-01,16.012
"Southern Cross Station",2016-08-02,19.009
"Southern Cross Station",2016-08-03,18.393
"Southern Cross Station",2016-08-04,18.293
"Southern Cross Station",2016-08-05,18.307
"Southern Cross Station",2016-08-06,2.732
"Southern Cross Station",2016-08-07,1.907
"Southern Cross Station",2016-08-08,17.342
"Southern Cross Station",2016-08-09,18.292
"Southern Cross Station",2016-08-10,17.888
"Southern Cross Station",2016-08-11,18.348
"Southern Cross Station",2016-08-12,17.952
"Southern Cross Station",2016-08-13,2.672
"Southern Cross Station",2016-08-14,1.82
"Southern Cross Station",2016-08-15,17.452
"Southern Cross Station",2016-08-16,18.707
"Southern Cross Station",2016-08-17,18.293
"Southern Cross Station",2016-08-18,18.106
"Southern Cross Station",2016-08-19,16.792
"Southern Cross Station",2016-08-20,2.154
"Southern Cross Station",2016-08-21,1.593
"Southern Cross Station",2016-08-22,16.489
"Southern Cross Station",2016-08-23,17.827
"Southern Cross Station",2016-08-24,17.156
"Southern Cross Station",2016-08-25,17.435
"Southern Cross Station",2016-08-26,17.604
"Southern Cross Station",2016-08-27,2.427
"Southern Cross Station",2016-08-28,1.827
"Southern Cross Station",2016-08-29,17.062
"Southern Cross Station",2016-08-30,17.951
"Southern Cross Station",2016-08-31,17.581
"Southern Cross Station",2016-09-01,17.793
"Southern Cross Station",2016-09-02,17.417
"Southern Cross Station",2016-09-03,2.38
"Southern Cross Station",2016-09-04,1.584
"Southern Cross Station",2016-09-05,16.989
"Southern Cross Station",2016-09-06,17.944
"Southern Cross Station",2016-09-07,17.454
"Southern Cross Station",2016-09-08,18.16
"Southern Cross Station",2016-09-09,17.018
"Southern Cross Station",2016-09-10,2.144
"Southern Cross Station",2016-09-11,1.619
"Southern Cross Station",2016-09-12,17.277
"Southern Cross Station",2016-09-13,16.249
"Southern Cross Station",2016-09-14,17.161
"Southern Cross Station",2016-09-15,17.441
"Southern Cross Station",2016-09-16,17.393
"Southern Cross Station",2016-09-17,2.076
"Southern Cross Station",2016-09-18,1.469
"Southern Cross Station",2016-09-19,17.16
"Southern Cross Station",2016-09-20,17.529
"Southern Cross Station",2016-09-21,16.797
"Southern Cross Station",2016-09-22,18.057
"Southern Cross Station",2016-09-23,16.838
"Southern Cross Station",2016-09-24,2.328
"Southern Cross Station",2016-09-25,1.818
"Southern Cross Station",2016-09-26,17.357
"Southern Cross Station",2016-09-27,17.73
"Southern Cross Station",2016-09-28,17.547
"Southern Cross Station",2016-09-29,17.374
"Southern Cross Station",2016-09-30,2.801
"Southern Cross Station",2016-10-01,1.716
"Southern Cross Station",2016-10-02,1.549
"Southern Cross Station",2016-10-03,16.658
"Southern Cross Station",2016-10-04,18.04
"Southern Cross Station",2016-10-05,18.489
"Southern Cross Station",2016-10-06,18.932
"Southern Cross Station",2016-10-07,17.992
"Southern Cross Station",2016-10-08,2.138
"Southern Cross Station",2016-10-09,1.509
"Southern Cross Station",2016-10-10,18.391
"Southern Cross Station",2016-10-11,19.802
"Southern Cross Station",2016-10-12,18.219
"Southern Cross Station",2016-10-13,19.005
"Southern Cross Station",2016-10-14,17.748
"Southern Cross Station",2016-10-15,2.826
"Southern Cross Station",2016-10-16,1.474
"Southern Cross Station",2016-10-17,17.699
"Southern Cross Station",2016-10-18,18.529
"Southern Cross Station",2016-10-19,18.229
"Southern Cross Station",2016-10-20,18.555
"Southern Cross Station",2016-10-21,17.407
"Southern Cross Station",2016-10-22,2.077
"Southern Cross Station",2016-10-23,1.664
"Southern Cross Station",2016-10-24,18.269
"Southern Cross Station",2016-10-25,18.931
