period,value,type,note
2022M08,8.820.643,Provisional,
2022M07,9.069.335,Provisional,
2022M06,7.460.277,Provisional,
2022M05,6.966.913,Provisional,
2022M04,6.102.142,Provisional,
2022M03,4.032.127,Provisional,
2022M02,3.156.809,Provisional,
2022M01,2.486.486,Provisional,
2021M12,2.947.525,Definitivo,
2021M11,3.361.913,Definitivo,
2021M10,5.148.820,Definitivo,
2021M09,4.703.933,Definitivo,
2021M08,5.196.520,Definitivo,
2021M07,4.398.992,Definitivo,
2021M06,2.216.356,Definitivo,
2021M05,1.363.164,Definitivo,
2021M04,629.206,Definitivo,
2021M03,491.427,Definitivo,
2021M02,284.974,Definitivo,
2021M01,437.973,Definitivo,
2020M12,648.989,Definitivo,
2020M11,456.814,Definitivo,
2020M10,1.020.773,Definitivo,
2020M09,1.138.868,Definitivo,
2020M08,2.440.978,Definitivo,
2020M07,2.464.779,Definitivo,
2020M06,204.272,Definitivo,
2020M05,0,Definitivo,
2020M04,0,Definitivo,
2020M03,1.997.262,Definitivo,
2020M02,4.427.344,Definitivo,
2020M01,4.133.024,Definitivo,
2019M12,4.304.741,Definitivo,
2019M11,4.655.021,Definitivo,
2019M10,7.587.749,Definitivo,
2019M09,8.845.152,Definitivo,
2019M08,10.118.366,Definitivo,
2019M07,9.873.270,Definitivo,
2019M06,8.833.893,Definitivo,
2019M05,7.919.204,Definitivo,
2019M04,7.146.033,Definitivo,
2019M03,5.649.577,Definitivo,
2019M02,4.380.504,Definitivo,
2019M01,4.195.641,Definitivo,
2018M12,4.354.798,Definitivo,
2018M11,4.536.873,Definitivo,
2018M10,7.649.860,Definitivo,
2018M09,8.932.308,Definitivo,
2018M08,10.175.761,Definitivo,
2018M07,10.020.246,Definitivo,
2018M06,8.554.306,Definitivo,
2018M05,8.086.048,Definitivo,
2018M04,6.780.378,Definitivo,
2018M03,5.393.186,Definitivo,
2018M02,4.218.047,Definitivo,
2018M01,4.106.601,Definitivo,
2017M12,3.982.530,Definitivo,
2017M11,4.392.575,Definitivo,
2017M10,7.269.931,Definitivo,
2017M09,8.877.270,Definitivo,
2017M08,10.397.745,Definitivo,
2017M07,10.493.438,Definitivo,
2017M06,8.431.975,Definitivo,
2017M05,8.002.648,Definitivo,
2017M04,7.081.594,Definitivo,
2017M03,4.913.943,Definitivo,
2017M02,4.119.137,Definitivo,
2017M01,3.905.736,Definitivo,
2016M12,3.990.446,Definitivo,
2016M11,4.098.262,Definitivo,
2016M10,7.137.723,Definitivo,
2016M09,7.932.607,Definitivo,
2016M08,10.027.471,Definitivo,
2016M07,9.545.792,Definitivo,
2016M06,7.552.758,Definitivo,
2016M05,7.111.154,Definitivo,
2016M04,6.086.327,Definitivo,
2016M03,4.627.206,Definitivo,
2016M02,3.678.726,Definitivo,
2016M01,3.526.537,Definitivo,
2015M12,3.512.914,Definitivo,
2015M11,3.754.802,Definitivo,
2015M10,6.432.341,Definitivo,
